Reading,Depth,Cone,Friction,Pore 2,Slope x,Slope y
937,0.000,0.0000,,,5.7398,5.9407
938,0.007,0.0012,,,5.7493,5.9575
939,0.015,0.0014,,0.0001,5.7568,5.9609
940,0.022,0.0020,,0.0002,5.7479,5.9625
941,0.030,0.0033,,0.0004,5.7262,5.9470
942,0.037,0.0040,,0.0005,5.7649,5.9694
943,0.045,0.0043,,0.0005,5.7152,5.9513
944,0.052,0.0059,,0.0005,5.7283,5.9186
945,0.059,0.0057,,0.0003,5.7445,5.8947
946,0.066,0.0072,,0.0001,5.7626,5.9257
947,0.074,0.0078,,-0.0003,5.7581,5.9538
948,0.081,0.0086,,-0.0005,5.7502,5.9438
949,0.089,0.0081,,-0.0008,5.7781,5.8877
950,0.096,0.0087,,-0.0013,5.7407,5.9156
951,0.104,0.0095,,-0.0012,5.7742,5.9301
952,0.111,0.0090,,-0.0010,5.7691,5.9284
953,0.118,0.0100,,-0.0016,5.7544,5.9236
954,0.126,0.0099,,-0.0016,5.7915,5.8865
955,0.134,0.0102,,-0.0019,5.7857,5.9030
956,0.141,0.0096,,-0.0018,5.7903,5.8539
957,0.149,0.0101,,-0.0018,5.8154,5.8587
958,0.156,0.0105,,-0.0016,5.8224,5.8664
959,0.164,0.0111,0.0007,-0.0017,5.8281,5.8835
960,0.172,0.0125,0.0006,-0.0011,5.8243,5.9123
961,0.179,0.0135,0.0006,-0.0004,5.8231,5.8803
962,0.186,0.0138,0.0006,0.0012,5.8525,5.9009
963,0.195,0.0138,0.0007,0.0023,5.8618,5.9084
964,0.202,0.0136,0.0007,0.0029,5.8545,5.8873
965,0.209,0.0134,0.0007,0.0030,5.8409,5.8933
966,0.217,0.0116,0.0008,0.0036,5.8445,5.8899
967,0.224,0.0122,0.0007,0.0036,5.8436,5.8519
968,0.231,0.0125,0.0007,0.0028,5.8685,5.8374
969,0.239,0.0126,0.0007,0.0030,5.8808,5.8510
970,0.246,0.0136,0.0007,0.0044,5.8651,5.8913
971,0.254,0.0153,0.0007,0.0046,5.8586,5.8684
972,0.261,0.0179,0.0006,0.0049,5.9000,5.8678
973,0.269,0.0209,0.0007,0.0054,5.8673,5.8814
974,0.276,0.0238,0.0007,0.0060,5.8354,5.8571
975,0.284,0.0262,0.0007,0.0070,5.8731,5.8455
976,0.291,0.0271,0.0008,0.0097,5.8953,5.8666
