index,depth,fr,delta_ord,orc,tf_sand,tf_clay,tf_adop_tension,tf_adop_compression,iz1,lc,qs_tension,qs_compression,qb1_clay,qb1_sand,qp_clay,qp_sand,Q_b_sand,Q_b_clay,ifr_value,diameter,are_value,area_value,dstar_value,depth,h,fr_percent,qt,gtot,u0_kpa,sig_v0,sig_v0_prime,qtn,n,bq,kc,qtc,,tipdepth,tension_capacity,compression_capacity,Q_shaft,Q_b
0,0.1,8.932132889,0,0,0,0.212433116,0.212433116,0.212433116,49.0439828,2.807019792,0.233582411,0.233582411,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,0.1,72.9,8.932132889,0.0089125,10.75626,0.981,1.075626,0.094626,49.0440273,0.923940607,-0.125177462,1,0.0089125,,0.1,0.685986391,0.685986391,0.233582411,0.45240398
1,0.2,5.892187643,0,0,0,0.335394219,0.335394219,0.335394219,32.03549818,2.796386485,0.602367616,0.602367616,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,0.2,72.8,5.892187643,0.014066429,10.93145697,1.962,2.186291394,0.224291394,32.03863622,0.918369344,-0.165149602,1,0.014066429,,0.1,0.685986391,0.685986391,0.602367616,0.083618775
2,0.3,3.515543601,0,0,0,0.692894466,0.692894466,0.692894466,26.66808472,2.700164716,1.364244874,1.364244874,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,0.3,72.7,3.515543601,0.02905,11.4980242,2.943,3.44940726,0.50640726,26.75552018,0.880520529,-0.114958276,1,0.02905,,0.2,1.768665646,1.768665646,1.364244874,0.404420772
3,0.4,2.229777077,0,0,0,0.924873174,0.924873174,0.924873174,23.86043704,2.607200217,2.381196043,2.381196043,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,0.4,72.6,2.229777077,0.0387625,11.41564112,3.924,4.566256448,0.642256448,24.38942942,0.844458171,-0.114749446,1,0.0387625,,0.3,4.004615677,4.004615677,2.381196043,1.623419634
4,0.5,1.916996724,0,0,0,1.133919527,1.133919527,1.133919527,21.61417922,2.597776372,3.628005683,3.628005683,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,0.5,72.5,1.916996724,0.0475075,11.55111194,4.905,5.77555597,0.87055597,22.43382029,0.840711296,-0.117535862,1,0.0475075,,0.4,6.988127316,6.988127316,3.628005683,3.360121633
5,0.6,1.327322677,0,0,0,1.240541224,1.240541224,1.240541224,19.53051812,2.52611436,4.992052002,4.992052002,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,0.6,72.4,1.327322677,0.051956667,11.25481451,5.886,6.752888706,0.866888706,21.4018584,0.813113233,-0.130210355,1,0.051956667,,0.5,10.64473303,10.64473303,4.992052002,5.652681028
6,0.7,0.348311821,0,0,0,1.437228333,0,0,,,4.992052002,4.992052002,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,0.7,72.3,0.348311821,0.060173571,9.79310316,6.867,6.855172212,-0.011827788,,,-0.128792315,,,,0.6,14.64378678,14.64378678,4.992052002,9.651734778
7,0.8,0.963496511,0.031221208,0.493759386,0.290839249,1.596870038,0.218129437,0.290839249,16.94300834,2.479575559,5.231897844,5.311846458,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,0.8,72.2,0.963496511,0.066834286,11.26147779,7.848,9.009182232,1.161182232,20.05733054,0.795200036,-0.135719601,2.2946724,0.153362791,,0.7,14.64378678,14.64378678,5.311846458,9.331940322
8,0.9,1.673442953,0,0,0,1.685516648,1.685516648,1.685516648,16.57773592,2.64917015,7.085220196,7.16516881,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,0.9,72.1,1.673442953,0.07052,11.95884278,8.829,10.7629585,1.933958502,17.73041229,0.860170548,-0.147748278,1,0.07052,,0.8,15.41504387,15.67212957,7.16516881,8.50696076
9,1,0.934406538,0,0,0,2.069162499,2.069162499,2.069162499,15.42395733,2.500514757,9.360383192,9.440331806,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1,72,0.934406538,0.08654125,11.62739062,9.81,11.62739062,1.81739062,18.66773142,0.803163326,-0.130950402,1,0.08654125,,0.9,20.84289917,21.09998486,9.440331806,11.65965305
10,1.1,1.024504367,0,0,0,1.973565217,1.973565217,1.973565217,14.49549412,2.547478401,11.53043149,11.6103801,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.1,71.9,1.024504367,0.082514286,11.63105648,10.791,12.79416213,2.003162128,17.35486187,0.821101523,-0.154775973,1,0.082514286,,1,27.50389437,27.76098007,11.6103801,16.15059997
11,1.2,1.384955433,0,0,0,2.287787574,2.287787574,2.287787574,14.97274865,2.627528151,14.04598531,14.12593392,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.2,71.8,1.384955433,0.095618571,12.20532797,11.772,14.64639356,2.874393564,16.69902906,0.851780703,-0.145383271,1,0.095618571,,1.1,33.85148214,34.10856784,14.12593392,19.98263392
12,1.3,1.607083549,0,0,0,2.168781891,2.168781891,2.168781891,14.07143768,2.692863486,16.43068555,16.51063416,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.3,71.7,1.607083549,0.090613125,12.2643868,12.753,15.94370284,3.19070284,15.33633339,0.87678453,-0.170792804,1,0.090613125,,1.2,41.18962457,41.44671027,16.51063416,24.93607611
13,1.4,1.764449195,0,0,0,2.038656029,2.038656029,2.038656029,13.06153803,2.745970604,18.67230493,18.75225355,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.4,71.6,1.764449195,0.085146667,12.24055324,13.734,17.13677454,3.402774536,14.07632405,0.897097025,-0.20194121,1,0.085146667,,1.3,48.11305832,48.37014402,18.75225355,29.61789047
14,1.5,1.478398649,0,0,0,2.330495825,2.330495825,2.330495825,12.8417956,2.698384716,21.23481893,21.31476754,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.5,71.5,1.478398649,0.097301667,12.25830229,14.715,18.38745343,3.672453435,14.35639131,0.878823776,-0.18646831,1,0.097301667,,1.4,54.5637473,54.820833,21.31476754,33.50606546
15,1.6,1.298784577,0,0,0,3.158896783,3.158896783,3.158896783,13.81163987,2.634846236,24.70820735,24.78815597,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.6,71.4,1.298784577,0.1318425,12.6247869,15.696,20.19965904,4.50365904,15.75926012,0.854525808,-0.140591191,1,0.1318425,,1.5,61.88577613,62.14286183,24.78815597,37.35470586
