

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1005.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :25-May-2022
                         time          :16:24:11
 Project number                        :20024805                                                                                            
 Date of testing                       :21-May-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1005
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1597.19     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1598.14     0.0025                0.0004     0.0002     0.0027                0.3200     0.0023     0.0453
    3    0.040   1599.10     0.0032                0.0008     0.0004     0.0035                0.6400     0.0029     0.0916
    4    0.060   1600.08     0.0069     0.0004     0.0010     0.0006     0.0073     5.7599     0.9600     0.0063     0.0635
    5    0.080   1601.04     0.0102     0.0006     0.0010     0.0008     0.0106     6.6166     1.2800     0.0094     0.0188
    6    0.100   1601.98     0.0127     0.0004     0.0013     0.0010     0.0132     3.3198     1.6000     0.0116     0.0165
    7    0.120   1602.94     0.0140     0.0006     0.0012     0.0012     0.0145     4.4208     1.9200     0.0125    -0.0031
    8    0.140   1603.89     0.0137     0.0004     0.0013     0.0014     0.0143     3.1574     2.2400     0.0120    -0.0113
    9    0.160   1604.87     0.0155     0.0006     0.0011     0.0016     0.0161     4.3599     2.5600     0.0135    -0.0157
   10    0.180   1605.81     0.0143     0.0006     0.0010     0.0018     0.0147     3.9110     2.8800     0.0118    -0.0663
   11    0.200   1606.76     0.0137     0.0007    -0.0001     0.0020     0.0138     5.2884     3.2000     0.0106    -0.1656
   12    0.220   1607.72     0.0159     0.0008    -0.0008     0.0022     0.0156     5.1850     3.5200     0.0121    -0.2440
   13    0.240   1608.66     0.0162     0.0009    -0.0008     0.0024     0.0159     5.3581     3.8400     0.0120    -0.2659
   14    0.260   1609.65     0.0137     0.0011    -0.0001     0.0026     0.0134     6.4839     4.1600     0.0093    -0.3412
   15    0.280   1610.68     0.0174     0.0008     0.0004     0.0028     0.0175     4.7676     4.4800     0.0131    -0.1810
   16    0.300   1611.69     0.0157     0.0007     0.0010     0.0030     0.0159     4.1753     4.8000     0.0111    -0.2191
   17    0.320   1612.72     0.0165     0.0009     0.0010     0.0032     0.0172     5.2678     5.1200     0.0121    -0.1374
   18    0.340   1613.77     0.0152     0.0008     0.0010     0.0034     0.0157     5.8286     5.4400     0.0103    -0.2187
   19    0.360   1614.80     0.0153     0.0008     0.0017     0.0036     0.0160     4.7237     5.7600     0.0103    -0.1751
   20    0.380   1615.84     0.0149     0.0006     0.0022     0.0038     0.0151     4.2294     6.0800     0.0090    -0.3741
   21    0.400   1616.88     0.0141     0.0007     0.0028     0.0040     0.0152     4.7630     6.4000     0.0088    -0.1651
   22    0.420   1617.93     0.0129     0.0010     0.0033     0.0042     0.0143     7.1580     6.7200     0.0075    -0.1369
   23    0.440   1618.96     0.0142     0.0008     0.0030     0.0044     0.0156     6.2069     7.0400     0.0085    -0.1469
   24    0.460   1620.00     0.0142     0.0010     0.0017     0.0046     0.0152     7.1811     7.3600     0.0079    -0.3036
   25    0.480   1621.01     0.0169     0.0010     0.0030     0.0048     0.0180     6.1184     7.6800     0.0103    -0.2184
   26    0.500   1622.09     0.0231     0.0011     0.0034     0.0050     0.0243     5.3272     8.0000     0.0163    -0.1256
   27    0.520   1623.15     0.0228     0.0012     0.0041     0.0052     0.0247     5.2398     8.3200     0.0164    -0.0433
   28    0.540   1624.20     0.0215     0.0016     0.0034     0.0054     0.0231     7.4188     8.6400     0.0144    -0.1126
   29    0.560   1625.22     0.0220     0.0014     0.0024     0.0056     0.0228     5.4232     8.9600     0.0139    -0.2557
   30    0.580   1626.29     0.0224     0.0015     0.0030     0.0058     0.0235     6.4258     9.2800     0.0142    -0.2260
   31    0.600   1627.31     0.0231     0.0019     0.0034     0.0060     0.0245     8.2289     9.6000     0.0149    -0.1760
   32    0.620   1628.33     0.0246     0.0017     0.0050     0.0062     0.0265     6.8417     9.9200     0.0166    -0.1062
   33    0.640   1629.37     0.0200     0.0018     0.0055     0.0064     0.0222     8.6960    10.2400     0.0120    -0.0938
   34    0.660   1630.42     0.0200     0.0016     0.0062     0.0066     0.0225     8.5603    10.5600     0.0119    -0.0568
   35    0.680   1631.50     0.0214     0.0016     0.0072     0.0068     0.0244     7.3945    10.8800     0.0135     0.0257
   36    0.700   1632.52     0.0206     0.0016     0.0073     0.0070     0.0235     7.1427    11.2000     0.0123    -0.0073
   37    0.720   1633.53     0.0209     0.0016     0.0081     0.0072     0.0243     8.4100    11.5200     0.0128     0.0598
   38    0.740   1634.57     0.0213     0.0017     0.0089     0.0074     0.0249     8.0078    11.8400     0.0131     0.0993
   39    0.760   1635.61     0.0227     0.0018     0.0079     0.0076     0.0263     8.0666    12.1600     0.0141     0.0633
