

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1007.003                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :08-Nov-2021
                         time          :15:11:31
 Project number                        :20024805                                                                                            
 Date of testing                       :06-Nov-2021                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1007
 Penetrometer                          :F7.5CKE2HAW2/B/2711
 Serial no                             :1701-2711

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1723.91     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1724.90     0.0068                0.0004     0.0002     0.0069                0.3200     0.0066    -0.0156
    3    0.040   1725.91     0.0043                0.0006     0.0004     0.0048                0.6400     0.0041     0.1570
    4    0.060   1726.84     0.0093     0.0004     0.0012     0.0006     0.0096     5.0964     0.9600     0.0086     0.0185
    5    0.080   1727.87     0.0047     0.0004     0.0003     0.0008     0.0048     4.3166     1.2800     0.0036    -1.0220
    6    0.100   1728.90     0.0024     0.0005     0.0011     0.0010     0.0028     5.7421     1.6000     0.0012    -0.0726
    7    0.120   1729.86     0.0080     0.0006     0.0022     0.0012     0.0087     7.1676     1.9200     0.0068     0.0902
    8    0.140   1730.86     0.0086     0.0007     0.0022     0.0014     0.0095     8.0818     2.2400     0.0073     0.1013
    9    0.160   1731.87     0.0068     0.0004     0.0028     0.0016     0.0078     5.0792     2.5600     0.0053     0.1947
   10    0.180   1733.83     0.0116     0.0006     0.0029     0.0018     0.0128     5.6750     2.8800     0.0099     0.1097
   11    0.200   1737.18     0.0126     0.0010     0.0029     0.0020     0.0138     8.8394     3.2000     0.0106     0.0854
   12    0.220   1740.53     0.0136     0.0007     0.0029     0.0022     0.0149     6.4714     3.5200     0.0113     0.0611
   13    0.240   1742.47     0.0172     0.0010     0.0034     0.0024     0.0187     6.2417     3.8400     0.0148     0.0754
   14    0.260   1743.50     0.0161     0.0013     0.0031     0.0026     0.0173     8.3135     4.1600     0.0131     0.0279
   15    0.280   1744.51     0.0179     0.0015     0.0030     0.0028     0.0192     8.1726     4.4800     0.0147     0.0132
   16    0.300   1745.50     0.0181     0.0012     0.0033     0.0030     0.0194     6.5543     4.8000     0.0146     0.0122
   17    0.320   1746.51     0.0187     0.0012     0.0039     0.0032     0.0202     6.2927     5.1200     0.0151     0.0147
   18    0.340   1747.50     0.0149     0.0015     0.0020     0.0034     0.0166    10.2513     5.4400     0.0112     0.0499
