

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1010.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :28-May-2022
                         time          :11:20:42
 Project number                        :20024805
 Date of testing                       :26-May-2022
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-1010
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1596.72     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1597.65     0.0008                0.0000     0.0002     0.0008                0.3200     0.0005    -0.9251
    3    0.040   1598.63     0.0023                0.0001     0.0004     0.0024                0.6400     0.0017    -0.1641
    4    0.060   1599.61     0.0042     0.0004     0.0003     0.0006     0.0043    12.0352     0.9600     0.0033    -0.1013
    5    0.080   1600.55     0.0046     0.0002     0.0004     0.0008     0.0047     7.5858     1.2800     0.0035    -0.1315
    6    0.100   1601.53     0.0058     0.0004     0.0005     0.0010     0.0060     8.4885     1.6000     0.0044    -0.1429
    7    0.120   1602.51     0.0049     0.0006     0.0007     0.0012     0.0052    13.0052     1.9200     0.0033    -0.1757
    8    0.140   1603.46     0.0042     0.0006     0.0011     0.0014     0.0046    12.6783     2.2400     0.0024    -0.1680
    9    0.160   1604.45     0.0078     0.0006     0.0011     0.0016     0.0083     7.6824     2.5600     0.0057    -0.0816
   10    0.180   1605.36     0.0067     0.0007     0.0012     0.0018     0.0071    10.3748     2.8800     0.0042    -0.1954
   11    0.200   1606.34     0.0088     0.0008     0.0012     0.0020     0.0094     9.2199     3.2000     0.0062    -0.0955
   12    0.220   1607.31     0.0066     0.0008     0.0004     0.0022     0.0070    12.1672     3.5200     0.0035    -0.3761
   13    0.240   1608.26     0.0093     0.0007     0.0007     0.0024     0.0095     8.3362     3.8400     0.0057    -0.3360
   14    0.260   1609.23     0.0093     0.0009     0.0011     0.0026     0.0100    11.3382     4.1600     0.0058    -0.1927
   15    0.280   1610.24     0.0130     0.0008     0.0009     0.0028     0.0135     7.1033     4.4800     0.0090    -0.1869
   16    0.300   1611.18     0.0166     0.0010     0.0020     0.0030     0.0172     6.7668     4.8000     0.0124    -0.1254
   17    0.320   1612.17     0.0170     0.0012     0.0010     0.0032     0.0176     8.1098     5.1200     0.0124    -0.1514
   18    0.340   1613.10     0.0156     0.0012    -0.0016     0.0034     0.0153     7.1092     5.4400     0.0098    -0.4409
   19    0.360   1614.07     0.0158     0.0010    -0.0015     0.0036     0.0149     5.6344     5.7600     0.0092    -0.6538
   20    0.380   1615.08     0.0160     0.0010     0.0006     0.0038     0.0160     6.3822     6.0800     0.0099    -0.3876
   21    0.400   1616.01     0.0160     0.0010     0.0024     0.0040     0.0168     6.6457     6.4000     0.0104    -0.2000
   22    0.420   1616.97     0.0164     0.0012     0.0033     0.0042     0.0177     6.9576     6.7200     0.0110    -0.1103
   23    0.440   1617.94     0.0133     0.0011     0.0042     0.0044     0.0150     7.9367     7.0400     0.0079    -0.0713
   24    0.460   1618.90     0.0170     0.0013     0.0043     0.0046     0.0189     8.4617     7.3600     0.0115    -0.0207
   25    0.480   1619.86     0.0169     0.0015     0.0038     0.0048     0.0186     9.2139     7.6800     0.0109    -0.0700
   26    0.500   1620.80     0.0169     0.0013     0.0052     0.0050     0.0189     7.2046     8.0000     0.0109    -0.0212
   27    0.520   1621.75     0.0194     0.0014     0.0064     0.0052     0.0219     7.3755     8.3200     0.0136     0.0667
   28    0.540   1622.73     0.0153     0.0014     0.0067     0.0054     0.0181     9.2425     8.6400     0.0095     0.1473
   29    0.560   1623.65     0.0161     0.0014     0.0062     0.0056     0.0186     7.8004     8.9600     0.0096     0.0338
   30    0.580   1624.64     0.0185     0.0015     0.0065     0.0058     0.0211     8.1780     9.2800     0.0119     0.0380
   31    0.600   1625.61     0.0184     0.0016     0.0062     0.0060     0.0209     9.2873     9.6000     0.0113     0.0094
   32    0.620   1626.59     0.0189     0.0015     0.0067     0.0062     0.0216     7.9137     9.9200     0.0117     0.0289
   33    0.640   1627.52     0.0192     0.0015     0.0073     0.0064     0.0222     8.5456    10.2400     0.0119     0.0530
   34    0.660   1628.52     0.0176     0.0018     0.0082     0.0066     0.0210    11.0071    10.5600     0.0104     0.1286
   35    0.680   1629.48     0.0191     0.0017     0.0079     0.0068     0.0225     9.4251    10.8800     0.0116     0.1174
   36    0.700   1630.43     0.0187     0.0018     0.0079     0.0070     0.0220     9.1360    11.2000     0.0108     0.0878
   37    0.720   1631.38     0.0202     0.0018     0.0075     0.0072     0.0234     9.1691    11.5200     0.0119     0.0380
   38    0.740   1632.36     0.0162     0.0019     0.0071     0.0074     0.0192    11.2884    11.8400     0.0073    -0.0632
   39    0.760   1633.34     0.0153     0.0018     0.0089     0.0076     0.0187    11.8542    12.1600     0.0065     0.0595
   40    0.780   1634.32     0.0149     0.0018     0.0095     0.0078     0.0189    11.0466    12.4800     0.0064     0.2679
   41    0.800   1635.28     0.0139     0.0017     0.0096     0.0080     0.0178    13.0075    12.8000     0.0050     0.2719
   42    0.820   1636.22     0.0110     0.0015     0.0109     0.0082     0.0154    13.0161    13.1200     0.0022     1.0400
   43    0.840   1637.20     0.0143     0.0015     0.0119     0.0084     0.0190    11.1852    13.4400     0.0056     0.4953
   44    0.860   1638.19     0.0174     0.0016     0.0122     0.0086     0.0224    10.4395    13.7600     0.0086     0.3728
   45    0.880   1639.13     0.0162     0.0018     0.0125     0.0088     0.0214    10.5517    14.0800     0.0073     0.4942
   46    0.900   1640.11     0.0192     0.0019     0.0125     0.0090     0.0245    10.4506    14.4000     0.0101     0.3622
   47    0.920   1641.05     0.0178     0.0020     0.0116     0.0092     0.0228    12.3262    14.7200     0.0081     0.3578
   48    0.940   1642.04     0.0207     0.0019     0.0114     0.0094     0.0255     9.6231    15.0400     0.0104     0.1854
   49    0.960   1643.04     0.0186     0.0019     0.0123     0.0096     0.0236    10.5346    15.3600     0.0082     0.2815
   50    0.980   1643.97     0.0166     0.0019     0.0130     0.0098     0.0220    11.5461    15.6800     0.0064     0.4956
   51    1.000   1644.95     0.0173     0.0020     0.0132     0.0100     0.0227    11.5608    16.0000     0.0067     0.4242
   52    1.020   1645.90     0.0137     0.0021     0.0143     0.0102     0.0196    14.0668    16.3200     0.0033     1.2099
   53    1.040   1646.85     0.0157     0.0016     0.0149     0.0104     0.0218    10.7116    16.6400     0.0052     0.8294
   54    1.060   1647.81     0.0152     0.0017     0.0155     0.0106     0.0216    10.8049    16.9600     0.0046     1.0255
   55    1.080   1648.80     0.0171     0.0018     0.0160     0.0108     0.0238    10.8789    17.2800     0.0065     0.8461
   56    1.100   1649.74     0.0144     0.0019     0.0171     0.0110     0.0214    13.6539    17.6000     0.0038     1.5975
   57    1.120   1650.74     0.0169     0.0017     0.0181     0.0112     0.0244    10.2109    17.9200     0.0064     1.0332
   58    1.140   1651.73     0.0202     0.0019     0.0180     0.0114     0.0276    10.6170    18.2400     0.0093     0.6698
   59    1.160   1652.68     0.0195     0.0019     0.0188     0.0116     0.0272     8.8246    18.5600     0.0087     0.7872
   60    1.180   1653.59     0.0225     0.0020     0.0198     0.0118     0.0306     9.4935    18.8800     0.0117     0.6540
   61    1.200   1654.59     0.0246     0.0019     0.0194     0.0120     0.0329     7.8277    19.2000     0.0137     0.5600
   62    1.220   1655.56     0.0269     0.0023     0.0184     0.0122     0.0348     8.6373    19.5200     0.0152     0.4301
   63    1.240   1656.50     0.0300     0.0020     0.0187     0.0124     0.0378     6.7569    19.8400     0.0179     0.3364
   64    1.260   1657.48     0.0286     0.0023     0.0183     0.0126     0.0363     8.9050    20.1600     0.0162     0.3700
   65    1.280   1658.48     0.0317     0.0024     0.0169     0.0128     0.0390     7.8512    20.4800     0.0185     0.2510
   66    1.300   1659.46     0.0329     0.0024     0.0171     0.0130     0.0399     7.4842    20.8000     0.0191     0.1994
   67    1.320   1660.41     0.0321     0.0025     0.0171     0.0132     0.0393     7.4964    21.1200     0.0182     0.2212
   68    1.340   1661.38     0.0376     0.0023     0.0188     0.0134     0.0451     6.6997    21.4400     0.0237     0.1932
   69    1.360   1662.33     0.0468     0.0025     0.0219     0.0136     0.0556     5.6141    21.7600     0.0338     0.2188
   70    1.380   1663.29     0.0559     0.0027     0.0219     0.0138     0.0657     5.0749    22.0800     0.0436     0.2208
   71    1.400   1664.27     0.0614     0.0029     0.0150     0.0140     0.0684     4.9359    22.4000     0.0460     0.0598
   72    1.420   1665.25     0.0687     0.0034     0.0113     0.0142     0.0738     5.0328    22.7200     0.0511    -0.0397
   73    1.440   1666.20     0.0683     0.0041     0.0079     0.0144     0.0723     5.9913    23.0400     0.0493    -0.0966
   74    1.460   1667.18     0.0641     0.0044     0.0063     0.0146     0.0667     6.6125    23.3600     0.0433    -0.1954
   75    1.480   1668.11     0.0592     0.0041     0.0058     0.0148     0.0618     6.8947    23.6800     0.0381    -0.2262
   76    1.500   1669.07     0.0556     0.0039     0.0068     0.0150     0.0582     6.9489    24.0000     0.0342    -0.2593
   77    1.520   1670.06     0.0498     0.0035     0.0111     0.0152     0.0539     6.5792    24.3200     0.0295    -0.1864
   78    1.540   1671.02     0.0459     0.0033     0.0155     0.0154     0.0518     6.5641    24.6400     0.0271    -0.0486
   79    1.560   1671.99     0.0420     0.0027     0.0202     0.0156     0.0498     6.6511    24.9600     0.0248     0.1122
   80    1.580   1672.96     0.0476     0.0028     0.0232     0.0158     0.0570     6.0269    25.2800     0.0317     0.2085
   81    1.600   1673.92     0.0542     0.0027     0.0244     0.0160     0.0645     5.1989    25.6000     0.0389     0.2146
   82    1.620   1674.88     0.0531     0.0029     0.0233     0.0162     0.0631     5.6011    25.9200     0.0371     0.2008
   83    1.640   1675.86     0.0519     0.0029     0.0236     0.0164     0.0619     5.5010    26.2400     0.0357     0.2066
   84    1.660   1676.81     0.0541     0.0030     0.0232     0.0166     0.0640     5.7320    26.5600     0.0375     0.1867
   85    1.680   1677.76     0.0524     0.0032     0.0220     0.0168     0.0618     6.0349    26.8800     0.0349     0.1614
   86    1.700   1678.75     0.0518     0.0031     0.0246     0.0170     0.0613     6.1099    27.2000     0.0341     0.1650
   87    1.720   1679.70     0.0495     0.0029     0.0244     0.0172     0.0602     5.8169    27.5200     0.0327     0.2543
   88    1.740   1680.68     0.0475     0.0029     0.0272     0.0174     0.0583     6.0083    27.8400     0.0305     0.2713
   89    1.760   1681.63     0.0509     0.0029     0.0302     0.0176     0.0634     5.6476    28.1600     0.0352     0.3460
   90    1.780   1682.62     0.0557     0.0030     0.0316     0.0178     0.0690     5.4488    28.4800     0.0405     0.3437
   91    1.800   1683.62     0.0582     0.0031     0.0319     0.0180     0.0717     5.5457    28.8000     0.0429     0.3269
   92    1.820   1684.57     0.0590     0.0033     0.0296     0.0182     0.0714     5.5308    29.1200     0.0422     0.2642
   93    1.840   1685.51     0.0582     0.0034     0.0296     0.0184     0.0710     5.5990    29.4400     0.0415     0.2894
   94    1.860   1686.50     0.0606     0.0035     0.0281     0.0186     0.0723     5.6672    29.7600     0.0426     0.2187
   95    1.880   1687.46     0.0655     0.0035     0.0308     0.0188     0.0781     5.4122    30.0800     0.0480     0.2299
   96    1.900   1688.44     0.0697     0.0035     0.0347     0.0190     0.0837     5.2329    30.4000     0.0533     0.2679
   97    1.920   1691.98     0.0698     0.0033     0.0354     0.0192     0.0849     4.6815    30.7200     0.0542     0.3098
   98    1.940   1705.53     0.0667     0.0032     0.0337     0.0194     0.0811     4.5359    31.0400     0.0501     0.2954
   99    1.960   1719.07     0.0637     0.0034     0.0320     0.0196     0.0774     4.7909    31.3600     0.0460     0.2810
  100    1.980   1726.20     0.0573     0.0034     0.0351     0.0198     0.0711     5.6830    31.6800     0.0395     0.3351
  101    2.000   1727.18     0.0517     0.0034     0.0388     0.0200     0.0676     6.0844    32.0000     0.0356     0.5066
  102    2.020   1728.15     0.0472     0.0030     0.0402     0.0202     0.0639     6.1736    32.3200     0.0316     0.6223
  103    2.040   1729.08     0.0458     0.0032     0.0419     0.0204     0.0631     6.8283    32.6400     0.0304     0.6802
  104    2.060   1730.03     0.0448     0.0033     0.0447     0.0206     0.0632     7.0698    32.9600     0.0302     0.7644
  105    2.080   1731.01     0.0476     0.0030     0.0475     0.0208     0.0673     6.3663    33.2800     0.0340     0.7631
  106    2.100   1731.99     0.0517     0.0026     0.0499     0.0210     0.0723     4.9734    33.6000     0.0387     0.7248
  107    2.120   1732.97     0.0568     0.0027     0.0521     0.0212     0.0783     4.7552    33.9200     0.0444     0.6775
  108    2.140   1733.93     0.0590     0.0025     0.0540     0.0214     0.0815     4.2736    34.2400     0.0473     0.6818
  109    2.160   1734.89     0.0673     0.0029     0.0574     0.0216     0.0909     4.4224    34.5600     0.0564     0.6154
  110    2.180   1735.84     0.0731     0.0027     0.0590     0.0218     0.0977     3.9317    34.8800     0.0629     0.5885
  111    2.200   1736.80     0.0759     0.0037     0.0577     0.0220     0.1006     4.8171    35.2000     0.0654     0.5619
  112    2.220   1737.77     0.0647     0.0034     0.0501     0.0222     0.0871     5.1033    35.5200     0.0516     0.6050
