

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1012.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :05-Jul-2022
                         time          :21:33:45
 Project number                        :20024805                                                                                            
 Date of testing                       :24-Jun-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1012
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1548.41     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1549.39     0.0008                0.0002     0.0002     0.0008                0.3200     0.0005    -0.2853
    3    0.040   1550.32     0.0050                0.0005     0.0004     0.0051                0.6400     0.0045    -0.0018
    4    0.060   1551.26     0.0084                0.0008     0.0006     0.0086                0.9600     0.0077     0.0038
    5    0.080   1552.21     0.0077     0.0004     0.0011     0.0008     0.0082     6.1815     1.2800     0.0069     0.0463
    6    0.100   1553.16     0.0107     0.0009     0.0006     0.0010     0.0110     8.7248     1.6000     0.0094    -0.0322
    7    0.120   1554.11     0.0132     0.0006     0.0002     0.0012     0.0133     5.3412     1.9200     0.0113    -0.0851
    8    0.140   1555.06     0.0134     0.0007    -0.0007     0.0014     0.0132     5.7441     2.2400     0.0110    -0.1741
    9    0.160   1556.03     0.0115     0.0011    -0.0008     0.0016     0.0112     8.4531     2.5600     0.0087    -0.2604
   10    0.180   1556.99     0.0144     0.0010    -0.0014     0.0018     0.0138     7.2253     2.8800     0.0110    -0.2840
   11    0.200   1557.91     0.0109     0.0009    -0.0013     0.0020     0.0106     7.5814     3.2000     0.0074    -0.4013
   12    0.220   1558.85     0.0107     0.0007     0.0004     0.0022     0.0106     6.8481     3.5200     0.0071    -0.3646
   13    0.240   1559.82     0.0120     0.0011     0.0017     0.0024     0.0128     8.9424     3.8400     0.0089    -0.0773
   14    0.260   1560.78     0.0106     0.0011     0.0017     0.0026     0.0114     8.9678     4.1600     0.0072    -0.1150
   15    0.280   1561.74     0.0113     0.0011     0.0015     0.0028     0.0119     9.2958     4.4800     0.0074    -0.1854
   16    0.300   1562.70     0.0129     0.0010     0.0024     0.0030     0.0138     9.7426     4.8000     0.0090    -0.1117
   17    0.320   1563.65     0.0156     0.0009     0.0024     0.0032     0.0167     6.8257     5.1200     0.0115    -0.0666
   18    0.340   1564.59     0.0118     0.0009     0.0034     0.0034     0.0132     6.1081     5.4400     0.0078    -0.0057
   19    0.360   1565.57     0.0138     0.0011     0.0033     0.0036     0.0153     9.4409     5.7600     0.0095    -0.0212
   20    0.380   1566.49     0.0117     0.0011     0.0045     0.0038     0.0134     7.9530     6.0800     0.0074     0.0362
   21    0.400   1567.43     0.0150     0.0009     0.0039     0.0040     0.0168     7.6281     6.4000     0.0104     0.0227
   22    0.420   1568.40     0.0157     0.0010     0.0035     0.0042     0.0172     6.8816     6.7200     0.0105    -0.0664
   23    0.440   1569.33     0.0204     0.0013     0.0042     0.0044     0.0221     6.0429     7.0400     0.0151    -0.0126
   24    0.460   1570.29     0.0223     0.0015     0.0029     0.0046     0.0238     6.6992     7.3600     0.0164    -0.0630
   25    0.480   1571.25     0.0197     0.0017     0.0018     0.0048     0.0206     8.4491     7.6800     0.0129    -0.1985
   26    0.500   1572.17     0.0194     0.0014     0.0017     0.0050     0.0199     7.0934     8.0000     0.0119    -0.3202
   27    0.520   1573.13     0.0192     0.0012     0.0023     0.0052     0.0201     6.5265     8.3200     0.0118    -0.2657
   28    0.540   1574.08     0.0138     0.0015     0.0045     0.0054     0.0155     9.2800     8.6400     0.0068    -0.2311
   29    0.560   1575.02     0.0149     0.0011     0.0046     0.0056     0.0167     7.3743     8.9600     0.0077    -0.1787
   30    0.580   1575.96     0.0141     0.0010     0.0050     0.0058     0.0160     6.7752     9.2800     0.0067    -0.1945
   31    0.600   1576.94     0.0175     0.0011     0.0066     0.0060     0.0201     8.2253     9.6000     0.0105     0.0165
   32    0.620   1577.88     0.0149     0.0010     0.0069     0.0062     0.0178     6.1935     9.9200     0.0079     0.0931
   33    0.640   1578.83     0.0152     0.0014     0.0064     0.0064     0.0181     8.4889    10.2400     0.0079     0.0584
   34    0.660   1579.75     0.0174     0.0011     0.0067     0.0066     0.0200     5.9016    10.5600     0.0094    -0.0443
   35    0.680   1580.70     0.0162     0.0011     0.0082     0.0068     0.0195     6.9119    10.8800     0.0086     0.1054
   36    0.700   1581.66     0.0150     0.0007     0.0094     0.0070     0.0187     4.2558    11.2000     0.0075     0.2734
   37    0.720   1582.61     0.0158     0.0011     0.0104     0.0072     0.0200     7.9636    11.5200     0.0085     0.3376
   38    0.740   1583.56     0.0249     0.0011     0.0107     0.0074     0.0293     5.1842    11.8400     0.0175     0.1753
   39    0.760   1584.51     0.0306     0.0012     0.0099     0.0076     0.0350     4.2062    12.1600     0.0228     0.1240
