

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1013.001                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :06-Nov-2021
                         time          :10:35:37
 Project number                        :20024805
 Date of testing                       :05-Nov-2021
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-1013
 Penetrometer                          :F7.5CKE2HAW2/B/2711
 Serial no                             :1701-2711

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1688.75     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1689.69     0.0035                0.0004     0.0002     0.0037                0.3200     0.0033     0.0484
    3    0.040   1690.69     0.0024                0.0007     0.0004     0.0027                0.6400     0.0020     0.1261
    4    0.060   1691.68     0.0077                0.0007     0.0006     0.0080                0.9600     0.0070     0.0282
    5    0.080   1692.63     0.0037                0.0008     0.0008     0.0041                1.2800     0.0028     0.0207
    6    0.100   1693.61     0.0048     0.0006     0.0007     0.0010     0.0051    13.8374     1.6000     0.0035    -0.0500
    7    0.120   1694.55     0.0046     0.0009    -0.0005     0.0012     0.0049    54.9159     1.9200     0.0029     0.5892
    8    0.140   1695.53     0.0096     0.0009    -0.0015     0.0014     0.0088     9.8603     2.2400     0.0066    -0.4994
    9    0.160   1697.92     0.0108     0.0006    -0.0011     0.0016     0.0103     6.1609     2.5600     0.0077    -0.3758
   10    0.180   1700.61     0.0117     0.0012    -0.0007     0.0018     0.0114    11.6824     2.8800     0.0085    -0.3144
   11    0.200   1702.95     0.0128     0.0007     0.0001     0.0020     0.0127     5.7422     3.2000     0.0095    -0.2404
   12    0.220   1703.95     0.0147     0.0009     0.0016     0.0022     0.0152     5.6489     3.5200     0.0116    -0.0883
   13    0.240   1704.92     0.0151     0.0012     0.0025     0.0024     0.0160     8.2232     3.8400     0.0122    -0.0301
   14    0.260   1705.90     0.0237     0.0013     0.0024     0.0026     0.0248     5.8077     4.1600     0.0206    -0.0048
   15    0.280   1706.85     0.0209     0.0015     0.0025     0.0028     0.0220     6.9838     4.4800     0.0175    -0.0181
   16    0.300   1707.82     0.0236     0.0019     0.0030     0.0030     0.0248     8.9175     4.8000     0.0200    -0.0165
   17    0.320   1708.82     0.0279     0.0018     0.0024     0.0032     0.0291     6.5919     5.1200     0.0240    -0.0169
