

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1017.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :18-Mar-2022
                         time          :13:59:41
 Project number                        :20024805                                                                                            
 Date of testing                       :17-Mar-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1017
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1565.22     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1566.20     0.0042                0.0006     0.0002     0.0043                0.3200     0.0040     0.0395
    3    0.040   1567.21     0.0084                0.0015     0.0004     0.0089                0.6400     0.0082     0.0887
    4    0.060   1568.27     0.0127     0.0006     0.0021     0.0006     0.0135     6.1257     0.9600     0.0125     0.0989
    5    0.080   1569.27     0.0158     0.0009     0.0026     0.0008     0.0169     7.1396     1.2800     0.0157     0.1179
    6    0.100   1570.31     0.0096     0.0005     0.0027     0.0010     0.0106     3.8871     1.6000     0.0090     0.1798
    7    0.120   1571.31     0.0110     0.0004     0.0021     0.0012     0.0119     3.0949     1.9200     0.0099     0.0984
    8    0.140   1572.34     0.0107     0.0005     0.0019     0.0014     0.0116     6.8258     2.2400     0.0093     0.0686
    9    0.160   1573.35     0.0101     0.0006     0.0018     0.0016     0.0110     5.5079     2.5600     0.0084     0.0389
   10    0.180   1574.39     0.0059     0.0008     0.0014     0.0018     0.0065    10.2225     2.8800     0.0036    -0.1227
   11    0.200   1575.38     0.0092     0.0008     0.0016     0.0020     0.0098     9.2798     3.2000     0.0066    -0.0886
   12    0.220   1576.40     0.0127     0.0010     0.0016     0.0022     0.0133     8.4969     3.5200     0.0098    -0.0654
   13    0.240   1577.42     0.0126     0.0011     0.0007     0.0024     0.0133     8.3963     3.8400     0.0094    -0.0939
   14    0.260   1578.40     0.0140     0.0011     0.0016     0.0026     0.0145     7.5385     4.1600     0.0103    -0.1477
   15    0.280   1579.35     0.0108     0.0012     0.0013     0.0028     0.0115    12.3781     4.4800     0.0070    -0.1407
   16    0.300   1580.37     0.0095     0.0015     0.0020     0.0030     0.0106    13.1163     4.8000     0.0058    -0.0823
   17    0.320   1581.38     0.0117     0.0014     0.0020     0.0032     0.0124    13.0735     5.1200     0.0073    -0.2070
