

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1028.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :19-Mar-2022
                         time          :10:32:03
 Project number                        :20024805
 Date of testing                       :18-Mar-2022
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-1028
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1709.16     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1710.11     0.0004                0.0000     0.0002     0.0004                0.3200     0.0001           
    3    0.040   1711.07    -0.0004                0.0000     0.0004    -0.0004                0.6400    -0.0010     0.4776
    4    0.060   1712.06     0.0003                0.0002     0.0006     0.0004                0.9600    -0.0006     0.8639
    5    0.080   1713.02     0.0014     0.0002     0.0005     0.0008     0.0015    25.6854     1.2800     0.0002     0.0100
    6    0.100   1713.92     0.0030     0.0002     0.0010     0.0010     0.0034     9.4504     1.6000     0.0018    -0.0998
    7    0.120   1714.87     0.0035     0.0003     0.0014     0.0012     0.0040     8.3003     1.9200     0.0021     0.0312
    8    0.140   1715.82     0.0043     0.0003     0.0018     0.0014     0.0050     7.4108     2.2400     0.0027     0.1009
    9    0.160   1716.78     0.0047     0.0005     0.0013     0.0016     0.0053    10.1026     2.5600     0.0027    -0.0531
   10    0.180   1717.73     0.0045     0.0005     0.0009     0.0018     0.0050    10.3414     2.8800     0.0021    -0.3638
   11    0.200   1718.72     0.0055     0.0006     0.0010     0.0020     0.0059    12.9711     3.2000     0.0027    -0.3862
   12    0.220   1719.68     0.0067     0.0007     0.0008     0.0022     0.0070    11.2456     3.5200     0.0035    -0.4059
   13    0.240   1720.64     0.0078     0.0007     0.0004     0.0024     0.0081     9.5654     3.8400     0.0043    -0.3976
   14    0.260   1721.59     0.0095     0.0007     0.0005     0.0026     0.0097     7.1967     4.1600     0.0055    -0.3859
   15    0.280   1722.53     0.0101     0.0008     0.0003     0.0028     0.0103     8.2385     4.4800     0.0058    -0.4093
   16    0.300   1723.48     0.0122     0.0010     0.0005     0.0030     0.0123     8.2091     4.8000     0.0075    -0.3641
   17    0.320   1724.43     0.0131     0.0011     0.0009     0.0032     0.0134     8.7653     5.1200     0.0083    -0.2846
