

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1042.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :26-Apr-2022
                         time          :10:11:38
 Project number                        :20024805
 Date of testing                       :21-Apr-2022
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-1042
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1969.97     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1970.98     0.0021                0.0006     0.0002     0.0023                0.3200     0.0020     0.2083
    3    0.040   1972.00     0.0066                0.0009     0.0004     0.0069                0.6400     0.0063     0.0716
    4    0.060   1976.35     0.0055     0.0005     0.0009     0.0006     0.0059     7.0881     0.9600     0.0050     0.0554
    5    0.080   1980.70     0.0045     0.0005     0.0009     0.0008     0.0049     9.5489     1.2800     0.0036     0.0393
    6    0.100   1981.89     0.0050     0.0007     0.0010     0.0010     0.0054    13.7400     1.6000     0.0038    -0.0013
    7    0.120   1982.88     0.0064     0.0006     0.0009     0.0012     0.0068     8.9187     1.9200     0.0048    -0.0507
    8    0.140   1983.90     0.0078     0.0006     0.0008     0.0014     0.0081     8.3946     2.2400     0.0059    -0.0813
    9    0.160   1984.88     0.0056     0.0007     0.0009     0.0016     0.0059    12.8461     2.5600     0.0033    -0.2390
   10    0.180   1985.91     0.0084     0.0009     0.0008     0.0018     0.0088    10.4136     2.8800     0.0059    -0.1787
   11    0.200   1986.95     0.0119     0.0009     0.0006     0.0020     0.0122    10.4636     3.2000     0.0090    -0.1380
   12    0.220   1987.91     0.0148     0.0013     0.0007     0.0022     0.0152     9.9362     3.5200     0.0117    -0.1066
   13    0.240   1988.88     0.0145     0.0012     0.0003     0.0024     0.0148     8.3426     3.8400     0.0109    -0.1688
   14    0.260   1989.88     0.0175     0.0019    -0.0017     0.0026     0.0173    11.0089     4.1600     0.0131    -0.2489
   15    0.280   1990.92     0.0181     0.0017    -0.0035     0.0028     0.0166     9.5037     4.4800     0.0121    -0.5311
   16    0.300   1991.94     0.0177     0.0021    -0.0019     0.0030     0.0167    12.0905     4.8000     0.0119    -0.4381
   17    0.320   1992.92     0.0204     0.0020    -0.0012     0.0032     0.0196     9.5886     5.1200     0.0145    -0.3368
   18    0.340   1993.91     0.0211     0.0021     0.0011     0.0034     0.0212    10.1998     5.4400     0.0157    -0.2113
   19    0.360   1994.91     0.0187     0.0020     0.0018     0.0036     0.0195    10.6948     5.7600     0.0138    -0.1155
   20    0.380   1995.88     0.0183     0.0022     0.0032     0.0038     0.0194    12.2464     6.0800     0.0133    -0.0924
   21    0.400   1996.88     0.0215     0.0020     0.0016     0.0040     0.0215     9.2612     6.4000     0.0151    -0.2709
   22    0.420   1997.89     0.0200     0.0021     0.0013     0.0042     0.0205    10.8811     6.7200     0.0138    -0.2111
   23    0.440   1998.91     0.0198     0.0023     0.0007     0.0044     0.0200    11.8518     7.0400     0.0129    -0.3176
   24    0.460   1999.91     0.0231     0.0023     0.0031     0.0046     0.0241    10.1712     7.3600     0.0168    -0.1183
   25    0.480   2000.89     0.0206     0.0025     0.0031     0.0048     0.0224    12.6095     7.6800     0.0147    -0.0366
   26    0.500   2001.88     0.0203     0.0022     0.0040     0.0050     0.0215    10.9518     8.0000     0.0135    -0.1571
   27    0.520   2002.90     0.0241     0.0021     0.0054     0.0052     0.0262     8.7092     8.3200     0.0178    -0.0145
   28    0.540   2003.92     0.0231     0.0020     0.0079     0.0054     0.0260     8.9422     8.6400     0.0173     0.0860
   29    0.560   2004.93     0.0253     0.0018     0.0078     0.0056     0.0290     7.2390     8.9600     0.0200     0.1585
   30    0.580   2005.89     0.0245     0.0023     0.0058     0.0058     0.0271     9.4452     9.2800     0.0178     0.0179
   31    0.600   2006.90     0.0276     0.0020     0.0039     0.0060     0.0296     7.4385     9.6000     0.0200    -0.0718
   32    0.620   2007.91     0.0314     0.0022     0.0032     0.0062     0.0328     7.2936     9.9200     0.0229    -0.1188
   33    0.640   2008.86     0.0321     0.0025     0.0008     0.0064     0.0327     8.0204    10.2400     0.0224    -0.2280
   34    0.660   2009.90     0.0330     0.0027    -0.0019     0.0066     0.0325     8.1774    10.5600     0.0219    -0.3570
   35    0.680   2010.94     0.0269     0.0028     0.0014     0.0068     0.0268     9.8613    10.8800     0.0160    -0.4383
