

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2002.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :12-Jul-2022
                         time          :16:16:29
 Project number                        :20024805                                                                                            
 Date of testing                       :08-Jul-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-2002
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   2104.81     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   2105.77     0.0001                0.0006     0.0002     0.0003                0.3200    -0.0001    -1.4771
    3    0.040   2106.76     0.0015                0.0005     0.0004     0.0019                0.6400     0.0012     0.4006
    4    0.060   2107.72     0.0037     0.0005     0.0001     0.0006     0.0037    15.5165     0.9600     0.0028    -0.1800
    5    0.080   2108.73     0.0048     0.0009    -0.0005     0.0008     0.0048    17.2803     1.2800     0.0036    -0.2319
    6    0.100   2111.04     0.0040     0.0009    -0.0009     0.0010     0.0036    24.5387     1.6000     0.0020    -0.9538
    7    0.120   2115.26     0.0044     0.0010    -0.0008     0.0012     0.0041    25.7666     1.9200     0.0022    -0.9309
    8    0.140   2117.86     0.0076     0.0012    -0.0043     0.0014     0.0055    19.7459     2.2400     0.0033    -1.9196
    9    0.160   2118.86     0.0075     0.0008    -0.0018     0.0016     0.0063    10.0505     2.5600     0.0038    -1.2129
   10    0.180   2119.86     0.0093     0.0008    -0.0003     0.0018     0.0091     8.7981     2.8800     0.0062    -0.3725
   11    0.200   2120.81     0.0110     0.0009     0.0004     0.0020     0.0112    10.1948     3.2000     0.0080    -0.2176
   12    0.220   2121.77     0.0092     0.0008    -0.0002     0.0022     0.0091     8.2084     3.5200     0.0056    -0.4244
   13    0.240   2122.77     0.0077     0.0009     0.0000     0.0024     0.0076    10.0430     3.8400     0.0038    -0.6515
   14    0.260   2123.74     0.0086     0.0007     0.0003     0.0026     0.0086     8.8694     4.1600     0.0045    -0.5763
   15    0.280   2124.76     0.0107     0.0009     0.0010     0.0028     0.0110    13.0438     4.4800     0.0065    -0.3608
   16    0.300   2125.73     0.0082     0.0010     0.0017     0.0030     0.0087    17.1168     4.8000     0.0039    -0.4746
   17    0.320   2126.70     0.0056     0.0009     0.0024     0.0032     0.0066    17.0501     5.1200     0.0014    -0.7376
   18    0.340   2127.67     0.0070     0.0012     0.0037     0.0034     0.0085    21.2854     5.4400     0.0030     0.1186
   19    0.360   2128.64     0.0084     0.0013     0.0035     0.0036     0.0100    19.7513     5.7600     0.0042     0.0150
   20    0.380   2138.36     0.0098     0.0009     0.0030     0.0038     0.0110    10.8589     6.0800     0.0049    -0.2290
   21    0.400   2169.90     0.0149     0.0010     0.0033     0.0040     0.0162    12.1424     6.4000     0.0098    -0.1431
   22    0.420   2201.44     0.0200     0.0013     0.0033     0.0042     0.0214    10.6033     6.7200     0.0147    -0.0572
   23    0.440   2204.28     0.0216     0.0010     0.0029     0.0044     0.0229     4.6233     7.0400     0.0159    -0.0723
   24    0.460   2205.26     0.0196     0.0012     0.0018     0.0046     0.0207     6.2786     7.3600     0.0134    -0.1470
   25    0.480   2206.28     0.0219     0.0014     0.0013     0.0048     0.0222     6.8894     7.6800     0.0145    -0.2743
   26    0.500   2207.25     0.0180     0.0014     0.0028     0.0050     0.0191     6.8819     8.0000     0.0111    -0.2178
   27    0.520   2208.20     0.0207     0.0014     0.0046     0.0052     0.0223     6.1920     8.3200     0.0140    -0.1057
   28    0.540   2209.24     0.0196     0.0012     0.0060     0.0054     0.0219     6.7865     8.6400     0.0133     0.0089
   29    0.560   2210.20     0.0221     0.0009     0.0076     0.0056     0.0251     3.8925     8.9600     0.0161     0.0894
   30    0.580   2211.18     0.0218     0.0013     0.0090     0.0058     0.0255     5.6279     9.2800     0.0162     0.1790
   31    0.600   2212.13     0.0231     0.0010     0.0086     0.0060     0.0268     4.4646     9.6000     0.0172     0.1647
   32    0.620   2213.12     0.0231     0.0008     0.0074     0.0062     0.0265     3.6088     9.9200     0.0165     0.1097
   33    0.640   2214.07     0.0225     0.0008     0.0080     0.0064     0.0256     3.7287    10.2400     0.0153     0.0488
   34    0.660   2215.04     0.0285     0.0016     0.0087     0.0066     0.0321     7.3673    10.5600     0.0215     0.0988
   35    0.680   2216.02     0.0487     0.0013     0.0055     0.0068     0.0515     2.5897    10.8800     0.0406    -0.0019
   36    0.700   2217.00     0.0487     0.0015     0.0058     0.0070     0.0509     3.2059    11.2000     0.0397    -0.0486
   37    0.720   2217.98     0.0474     0.0015     0.0082     0.0072     0.0504     3.0128    11.5200     0.0389     0.0009
   38    0.740   2218.93     0.0345     0.0014     0.0031     0.0074     0.0345     3.9191    11.8400     0.0227    -0.3253
   39    0.760   2219.89     0.0269     0.0015     0.0083     0.0076     0.0302     5.0216    12.1600     0.0181     0.0235
   40    0.780   2220.90     0.0292     0.0015     0.0105     0.0078     0.0336     5.3282    12.4800     0.0211     0.1268
   41    0.800   2221.90     0.0295     0.0012     0.0117     0.0080     0.0340     3.9433    12.8000     0.0212     0.1337
   42    0.820   2222.84     0.0285     0.0015     0.0139     0.0082     0.0341     5.3009    13.1200     0.0210     0.2438
   43    0.840   2223.83     0.0295     0.0015     0.0149     0.0084     0.0356     5.2392    13.4400     0.0221     0.2769
   44    0.860   2224.80     0.0318     0.0013     0.0150     0.0086     0.0381     4.2097    13.7600     0.0244     0.2691
   45    0.880   2225.80     0.0308     0.0015     0.0156     0.0088     0.0372     4.8126    14.0800     0.0231     0.2775
   46    0.900   2226.79     0.0340     0.0013     0.0161     0.0090     0.0407     3.9054    14.4000     0.0263     0.2691
   47    0.920   2227.76     0.0336     0.0011     0.0157     0.0092     0.0402     3.2468    14.7200     0.0255     0.2609
   48    0.940   2228.76     0.0332     0.0013     0.0145     0.0094     0.0394     3.8417    15.0400     0.0244     0.2217
   49    0.960   2229.74     0.0358     0.0010     0.0125     0.0096     0.0414     2.9273    15.3600     0.0261     0.1424
   50    0.980   2230.75     0.0374     0.0016     0.0127     0.0098     0.0426     4.2689    15.6800     0.0269     0.0934
   51    1.000   2231.72     0.0393     0.0017     0.0128     0.0100     0.0447     4.4236    16.0000     0.0287     0.0989
   52    1.020   2232.66     0.0415     0.0014     0.0115     0.0102     0.0467     3.5407    16.3200     0.0303     0.0689
   53    1.040   2233.64     0.0409     0.0016     0.0113     0.0104     0.0455     3.9972    16.6400     0.0288     0.0155
   54    1.060   2234.64     0.0435     0.0016     0.0131     0.0106     0.0487     3.7132    16.9600     0.0317     0.0571
   55    1.080   2235.61     0.0409     0.0016     0.0151     0.0108     0.0469     3.7012    17.2800     0.0296     0.1200
   56    1.100   2236.59     0.0398     0.0016     0.0165     0.0110     0.0466     3.9025    17.6000     0.0290     0.1774
   57    1.120   2237.59     0.0428     0.0013     0.0165     0.0112     0.0496     3.0859    17.9200     0.0317     0.1613
   58    1.140   2238.56     0.0429     0.0011     0.0185     0.0114     0.0504     2.6560    18.2400     0.0321     0.1983
   59    1.160   2239.55     0.0442     0.0016     0.0193     0.0116     0.0522     3.6783    18.5600     0.0336     0.2216
   60    1.180   2240.50     0.0476     0.0014     0.0189     0.0118     0.0555     2.9527    18.8800     0.0366     0.1900
   61    1.200   2241.46     0.0453     0.0017     0.0172     0.0120     0.0528     3.6435    19.2000     0.0336     0.1689
   62    1.220   2242.46     0.0466     0.0019     0.0168     0.0122     0.0536     4.1965    19.5200     0.0341     0.1324
   63    1.240   2243.44     0.0519     0.0017     0.0176     0.0124     0.0589     3.2456    19.8400     0.0390     0.1097
   64    1.260   2244.42     0.0494     0.0018     0.0184     0.0126     0.0572     3.6386    20.1600     0.0370     0.1615
   65    1.280   2245.42     0.0521     0.0017     0.0185     0.0128     0.0598     3.2973    20.4800     0.0393     0.1418
   66    1.300   2246.40     0.0565     0.0016     0.0197     0.0130     0.0643     2.9646    20.8000     0.0435     0.1271
   67    1.320   2247.35     0.0555     0.0016     0.0222     0.0132     0.0645     3.0072    21.1200     0.0434     0.1882
   68    1.340   2248.34     0.0582     0.0016     0.0233     0.0134     0.0681     2.8633    21.4400     0.0466     0.2173
   69    1.360   2249.32     0.0642     0.0018     0.0230     0.0136     0.0740     2.8242    21.7600     0.0522     0.1865
   70    1.380   2250.28     0.0704     0.0022     0.0210     0.0138     0.0798     3.2470    22.0800     0.0577     0.1458
   71    1.400   2251.28     0.0736     0.0025     0.0167     0.0140     0.0808     3.4010    22.4000     0.0584     0.0542
   72    1.420   2252.28     0.0747     0.0027     0.0144     0.0142     0.0813     3.5230    22.7200     0.0585     0.0257
   73    1.440   2253.28     0.0751     0.0025     0.0136     0.0144     0.0807     3.3180    23.0400     0.0576    -0.0177
   74    1.460   2254.23     0.0694     0.0027     0.0149     0.0146     0.0754     3.9301    23.3600     0.0521    -0.0018
   75    1.480   2255.24     0.0663     0.0026     0.0176     0.0148     0.0733     3.8039    23.6800     0.0496     0.0361
   76    1.500   2256.21     0.0633     0.0023     0.0216     0.0150     0.0718     3.5074    24.0000     0.0478     0.1088
   77    1.520   2257.21     0.0607     0.0020     0.0257     0.0152     0.0708     3.2561    24.3200     0.0465     0.1913
   78    1.540   2258.20     0.0613     0.0019     0.0285     0.0154     0.0730     3.1562    24.6400     0.0483     0.2579
   79    1.560   2259.16     0.0597     0.0017     0.0313     0.0156     0.0724     2.8258    24.9600     0.0474     0.3077
   80    1.580   2260.15     0.0602     0.0018     0.0340     0.0158     0.0741     2.9757    25.2800     0.0488     0.3540
   81    1.600   2261.11     0.0633     0.0020     0.0364     0.0160     0.0783     3.2971    25.6000     0.0527     0.3730
   82    1.620   2262.07     0.0712     0.0022     0.0372     0.0162     0.0869     3.1128    25.9200     0.0610     0.3457
   83    1.640   2263.08     0.0796     0.0020     0.0348     0.0164     0.0951     2.5966    26.2400     0.0688     0.2951
   84    1.660   2264.04     0.0816     0.0017     0.0301     0.0166     0.0947     2.1035    26.5600     0.0681     0.2146
   85    1.680   2265.00     0.0806     0.0024     0.0276     0.0168     0.0925     2.9318    26.8800     0.0656     0.1742
   86    1.700   2265.98     0.0832     0.0027     0.0263     0.0170     0.0943     3.3211    27.2000     0.0671     0.1404
   87    1.720   2266.96     0.0912     0.0027     0.0284     0.0172     0.1028     2.9791    27.5200     0.0752     0.1362
   88    1.740   2267.97     0.0910     0.0027     0.0294     0.0174     0.1034     3.0044    27.8400     0.0756     0.1618
   89    1.760   2268.95     0.0905     0.0027     0.0265     0.0176     0.1021     2.9521    28.1600     0.0739     0.1338
   90    1.780   2269.94     0.0852     0.0028     0.0242     0.0178     0.0962     3.2161    28.4800     0.0677     0.1208
   91    1.800   2270.91     0.0815     0.0027     0.0260     0.0180     0.0911     3.2307    28.8000     0.0623     0.0775
   92    1.820   2271.88     0.0814     0.0027     0.0302     0.0182     0.0937     3.3651    29.1200     0.0646     0.1711
   93    1.840   2272.84     0.0754     0.0024     0.0363     0.0184     0.0899     3.1415    29.4400     0.0604     0.2641
   94    1.860   2273.85     0.0802     0.0023     0.0403     0.0186     0.0967     2.9110    29.7600     0.0669     0.3086
   95    1.880   2274.82     0.0787     0.0024     0.0431     0.0188     0.0965     3.0527    30.0800     0.0665     0.3569
   96    1.900   2275.82     0.0769     0.0020     0.0440     0.0190     0.0953     2.5266    30.4000     0.0649     0.3839
   97    1.920   2276.79     0.0754     0.0024     0.0450     0.0192     0.0937     3.1869    30.7200     0.0630     0.3881
   98    1.940   2277.78     0.0714     0.0025     0.0476     0.0194     0.0911     3.4796    31.0400     0.0601     0.4568
   99    1.960   2278.75     0.0738     0.0024     0.0496     0.0196     0.0944     3.2377    31.3600     0.0630     0.4643
  100    1.980   2279.77     0.0738     0.0026     0.0491     0.0198     0.0946     3.4696    31.6800     0.0629     0.4734
  101    2.000   2280.76     0.0760     0.0027     0.0493     0.0200     0.0968     3.5540    32.0000     0.0648     0.4544
  102    2.020   2281.71     0.0762     0.0024     0.0491     0.0202     0.0967     3.1138    32.3200     0.0644     0.4450
  103    2.040   2282.71     0.0776     0.0025     0.0508     0.0204     0.0987     3.2131    32.6400     0.0661     0.4540
  104    2.060   2283.70     0.0777     0.0026     0.0529     0.0206     0.0997     3.4604    32.9600     0.0667     0.4732
  105    2.080   2284.65     0.0813     0.0026     0.0534     0.0208     0.1036     3.1425    33.2800     0.0703     0.4590
  106    2.100   2285.66     0.0841     0.0025     0.0531     0.0210     0.1068     3.0565    33.6000     0.0732     0.4515
  107    2.120   2286.64     0.0869     0.0026     0.0486     0.0212     0.1079     3.0674    33.9200     0.0739     0.3872
  108    2.140   2287.61     0.0879     0.0026     0.0488     0.0214     0.1084     3.0292    34.2400     0.0741     0.3680
  109    2.160   2288.58     0.0856     0.0027     0.0533     0.0216     0.1072     3.1775    34.5600     0.0726     0.4085
  110    2.180   2289.56     0.0904     0.0033     0.0528     0.0218     0.1132     3.7042    34.8800     0.0783     0.4158
  111    2.200   2290.54     0.0941     0.0033     0.0512     0.0220     0.1158     3.5773    35.2000     0.0806     0.3701
  112    2.220   2291.50     0.0939     0.0026     0.0440     0.0222     0.1140     2.7833    35.5200     0.0785     0.3270
  113    2.240   2292.49     0.0949     0.0028     0.0378     0.0224     0.1116     2.8493    35.8400     0.0758     0.2289
  114    2.260   2293.47     0.0872     0.0028     0.0442     0.0226     0.1043     3.2053    36.1600     0.0681     0.2664
  115    2.280   2294.41     0.0797     0.0028     0.0510     0.0228     0.1000     3.2990    36.4800     0.0635     0.4040
  116    2.300   2295.41     0.0756     0.0027     0.0552     0.0230     0.0982     3.3955    36.8000     0.0614     0.5020
  117    2.320   2296.38     0.0774     0.0027     0.0541     0.0232     0.1009     3.4712    37.1200     0.0638     0.5147
  118    2.340   2297.41     0.0832     0.0026     0.0557     0.0234     0.1061     3.2247    37.4400     0.0687     0.4546
  119    2.360   2298.36     0.0907     0.0026     0.0548     0.0236     0.1134     2.9234    37.7600     0.0756     0.4007
  120    2.380   2311.19     0.0906     0.0032     0.0511     0.0238     0.1128     3.4712    38.0800     0.0747     0.3843
  121    2.400   2334.90     0.0891     0.0032     0.0464     0.0240     0.1093     3.5107    38.4000     0.0709     0.3334
  122    2.420   2358.61     0.0876     0.0034     0.0417     0.0242     0.1058     3.7827    38.7200     0.0671     0.2825
  123    2.440   2368.14     0.0901     0.0032     0.0410     0.0244     0.1071     3.5553    39.0400     0.0681     0.2343
  124    2.460   2369.12     0.0903     0.0034     0.0467     0.0246     0.1093     3.8014    39.3600     0.0699     0.2956
  125    2.480   2370.13     0.0921     0.0031     0.0480     0.0248     0.1122     3.3175    39.6800     0.0725     0.3187
  126    2.500   2371.08     0.0916     0.0032     0.0518     0.0250     0.1127     3.5846    40.0000     0.0727     0.3476
  127    2.520   2372.06     0.0897     0.0034     0.0571     0.0252     0.1126     3.7017    40.3200     0.0723     0.4062
  128    2.540   2373.06     0.0892     0.0033     0.0617     0.0254     0.1146     3.7160    40.6400     0.0739     0.4725
  129    2.560   2374.00     0.0915     0.0033     0.0613     0.0256     0.1176     3.6136    40.9600     0.0766     0.4769
  130    2.580   2375.01     0.0931     0.0028     0.0631     0.0258     0.1194     3.0176    41.2800     0.0781     0.4705
  131    2.600   2375.97     0.0975     0.0031     0.0655     0.0260     0.1250     3.1866    41.6000     0.0834     0.4736
  132    2.620   2376.98     0.0984     0.0027     0.0684     0.0262     0.1266     2.7337    41.9200     0.0846     0.4835
  133    2.640   2377.91     0.0981     0.0028     0.0692     0.0264     0.1274     2.9263    42.2400     0.0851     0.5085
  134    2.660   2378.93     0.0948     0.0030     0.0707     0.0266     0.1243     3.1033    42.5600     0.0817     0.5326
  135    2.680   2379.85     0.1002     0.0031     0.0703     0.0268     0.1301     3.1407    42.8800     0.0872     0.5080
  136    2.700   2380.85     0.1010     0.0034     0.0704     0.0270     0.1304     3.3141    43.2000     0.0872     0.4926
  137    2.720   2381.81     0.1021     0.0035     0.0664     0.0272     0.1318     3.3943    43.5200     0.0882     0.4931
  138    2.740   2382.76     0.1039     0.0039     0.0651     0.0274     0.1313     3.7484    43.8400     0.0875     0.4340
  139    2.760   2383.77     0.1009     0.0034     0.0624     0.0276     0.1275     3.3358    44.1600     0.0833     0.4300
  140    2.780   2384.74     0.1016     0.0035     0.0616     0.0278     0.1272     3.4175    44.4800     0.0828     0.4008
