

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2013(S).000                         
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :24-May-2022
                         time          :16:07:25
 Project number                        :20024805                                                                                            
 Date of testing                       :26-Apr-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-2013(S)
 Penetrometer                          :F7.5CKE2X3S\B\2753
 Serial no                             :1701-2753

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   2562.50     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   2563.55     0.0015                0.0007     0.0002     0.0017                0.3200     0.0014     0.2094
    3    0.040   2564.50     0.0036                0.0008     0.0004     0.0038                0.6400     0.0032     0.0599
    4    0.060   2565.51     0.0047     0.0005     0.0013     0.0006     0.0053     9.8931     0.9600     0.0044     0.1854
    5    0.080   2566.51     0.0049     0.0005     0.0011     0.0008     0.0056    10.5108     1.2800     0.0043     0.1863
    6    0.100   2567.51     0.0063     0.0006     0.0021     0.0010     0.0063     9.8516     1.6000     0.0047    -0.1917
    7    0.120   2568.51     0.0050     0.0007     0.0042     0.0012     0.0065    13.0625     1.9200     0.0046     0.5275
    8    0.140   2569.51     0.0071     0.0008     0.0043     0.0014     0.0090    11.5188     2.2400     0.0068     0.4653
    9    0.160   2570.51     0.0084     0.0009     0.0049     0.0016     0.0104    10.6924     2.5600     0.0079     0.4011
   10    0.180   2571.52     0.0102     0.0010     0.0039     0.0018     0.0120    10.2248     2.8800     0.0091     0.2873
   11    0.200   2572.52     0.0107     0.0011     0.0039     0.0020     0.0123    10.1960     3.2000     0.0091     0.1919
   12    0.220   2573.52     0.0098     0.0012     0.0046     0.0022     0.0118    11.6991     3.5200     0.0083     0.3234
   13    0.240   2574.52     0.0111     0.0013     0.0046     0.0024     0.0129    11.7217     3.8400     0.0091     0.2014
   14    0.260   2575.52     0.0124     0.0013     0.0066     0.0026     0.0146    11.1652     4.1600     0.0104     0.2437
   15    0.280   2576.47     0.0113     0.0014     0.0093     0.0028     0.0149    12.6727     4.4800     0.0104     0.5567
   16    0.300   2577.52     0.0105     0.0014     0.0083     0.0030     0.0142    13.4361     4.8000     0.0094     0.6135
   17    0.320   2578.48     0.0112     0.0014     0.0076     0.0032     0.0144    12.7975     5.1200     0.0093     0.4727
