

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2017.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :06-May-2022
                         time          :10:32:12
 Project number                        :20024805
 Date of testing                       :28-Apr-2022
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-2017
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   4574.06     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   4575.03     0.0041                0.0005     0.0002     0.0042                0.3200     0.0039     0.0120
    3    0.040   4576.00     0.0054                0.0008     0.0004     0.0057                0.6400     0.0051     0.0602
    4    0.060   4576.96     0.0024     0.0002     0.0011     0.0006     0.0029     6.2696     0.9600     0.0019     0.2798
    5    0.080   4577.94     0.0049     0.0004     0.0013     0.0008     0.0054     6.9770     1.2800     0.0042     0.1020
    6    0.100   4578.89     0.0033     0.0003     0.0014     0.0010     0.0038     5.4197     1.6000     0.0022     0.2850
    7    0.120   4579.84     0.0059     0.0003     0.0013     0.0012     0.0065     5.5791     1.9200     0.0046     0.0394
    8    0.140   4580.83     0.0037     0.0002     0.0013     0.0014     0.0042     6.9866     2.2400     0.0020    -0.1288
    9    0.160   4581.79     0.0033     0.0004     0.0014     0.0016     0.0040    18.5048     2.5600     0.0014     0.0350
   10    0.180   4582.72     0.0051     0.0003     0.0019     0.0018     0.0058     4.8104     2.8800     0.0029     0.0091
   11    0.200   4583.71     0.0058     0.0002     0.0024     0.0020     0.0067     4.0671     3.2000     0.0035     0.0767
   12    0.220   4584.63     0.0057     0.0005     0.0027     0.0022     0.0068     9.8878     3.5200     0.0032     0.1091
   13    0.240   4585.58     0.0057     0.0004     0.0030     0.0024     0.0069     7.3795     3.8400     0.0031     0.1880
   14    0.260   4586.56     0.0037     0.0003     0.0031     0.0026     0.0050     5.9531     4.1600     0.0009     0.7066
   15    0.280   4587.53     0.0064     0.0004     0.0030     0.0028     0.0077     7.7500     4.4800     0.0032     0.0787
   16    0.300   4588.47     0.0073     0.0005     0.0032     0.0030     0.0087     9.1118     4.8000     0.0039     0.0600
   17    0.320   4589.41     0.0047     0.0004     0.0032     0.0032     0.0061     6.6030     5.1200     0.0010     0.0702
