

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2018.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :21-Apr-2022
                         time          :15:40:03
 Project number                        :20024805                                                                                            
 Date of testing                       :14-Apr-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-2018
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   2633.13     0.0000                           0.0000    -0.0009                0.0000    -0.0009     2.3810
    2    0.020   2634.08     0.0029               -0.0023     0.0002     0.0020                0.3200     0.0017    -1.5301
    3    0.040   2635.08     0.0046               -0.0020     0.0004     0.0037                0.6400     0.0030    -0.8648
    4    0.060   2636.04     0.0007     0.0004    -0.0016     0.0006     0.0000    35.3456     0.9600    -0.0009     0.9199
    5    0.080   2636.99     0.0012     0.0004    -0.0013     0.0008     0.0006   206.1401     1.2800    -0.0007     3.4209
    6    0.100   2637.94     0.0052     0.0002    -0.0005     0.0010     0.0049     5.0586     1.6000     0.0033    -0.6776
    7    0.120   2638.90     0.0027     0.0001     0.0001     0.0012     0.0027     3.4285     1.9200     0.0008    -1.9599
    8    0.140   2639.90     0.0043     0.0002     0.0008     0.0014     0.0045     6.3099     2.2400     0.0023    -0.3403
    9    0.160   2640.85     0.0047     0.0000     0.0008     0.0016     0.0050     0.5677     2.5600     0.0024    -0.4292
   10    0.180   2641.78     0.0049     0.0001     0.0008     0.0018     0.0053     2.1418     2.8800     0.0024    -0.5192
   11    0.200   2642.74     0.0034     0.0005     0.0006     0.0020     0.0036    16.3881     3.2000     0.0004     7.2107
   12    0.220   2643.71     0.0064     0.0005     0.0004     0.0022     0.0066     9.2269     3.5200     0.0030    -0.5845
   13    0.240   2644.67     0.0030     0.0003     0.0000     0.0024     0.0029     7.1980     3.8400    -0.0009     2.3031
   14    0.260   2645.67     0.0077     0.0003     0.0002     0.0026     0.0077     4.7055     4.1600     0.0035    -0.7355
   15    0.280   2646.64     0.0070     0.0003     0.0008     0.0028     0.0073     5.4225     4.4800     0.0028    -0.7886
   16    0.300   2647.61     0.0052     0.0002     0.0016     0.0030     0.0058     6.1396     4.8000     0.0010     0.3089
   17    0.320   2648.55     0.0050     0.0002     0.0020     0.0032     0.0058     5.3226     5.1200     0.0007    -0.8523
   18    0.340   2649.50     0.0040     0.0003     0.0025     0.0034     0.0050     8.8946     5.4400    -0.0004           
   19    0.360   2650.44     0.0058     0.0001     0.0024     0.0036     0.0068     1.3838     5.7600     0.0011    -1.5978
   20    0.380   2671.84     0.0052     0.0002     0.0022     0.0038     0.0061     4.1593     6.0800     0.0001    -1.2034
   21    0.400   2699.12     0.0050     0.0005     0.0020     0.0040     0.0059     8.5316     6.4000    -0.0005     0.3409
   22    0.420   2726.40     0.0049     0.0003     0.0018     0.0042     0.0057     4.7798     6.7200    -0.0011     1.8853
   23    0.440   2730.49     0.0062     0.0005     0.0019     0.0044     0.0070     7.8035     7.0400    -0.0001    -1.9259
   24    0.460   2731.44     0.0055     0.0002     0.0024     0.0046     0.0064     4.6943     7.3600    -0.0009     2.9891
