

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2022.001                            
 Output using command file : PlotASCII_qe.cmd

 ASCII file created at : date          :22-Mar-2022
                         time          :10:55:45
 Project number                        :20024805
 Date of testing                       :21-Mar-2022
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-2022
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 qe                                    :Effective Cone Resistance, Effective Cone Resistance [MPa]


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq         qe
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -        MPa
    1    0.000   2100.13     0.0000                           0.0000     0.0000                0.0000     0.0000                0.0000
    2    0.020   2101.13     0.0017                0.0005     0.0002     0.0018                0.3200     0.0015     0.0722     0.0015
    3    0.040   2102.18     0.0153                0.0009     0.0004     0.0156                0.6400     0.0150     0.0247     0.0149
    4    0.060   2105.85     0.0366     0.0004     0.0013     0.0006     0.0370     2.9174     0.9600     0.0361     0.0185     0.0359
    5    0.080   2109.52     0.0578     0.0005     0.0017     0.0008     0.0584     3.1622     1.2800     0.0572     0.0123     0.0569
    6    0.100   2110.64     0.0643     0.0014     0.0020     0.0010     0.0651     2.1264     1.6000     0.0635     0.0153     0.0632
    7    0.120   2111.62     0.0622     0.0021     0.0017     0.0012     0.0630     3.3273     1.9200     0.0611     0.0095     0.0612
    8    0.140   2112.63     0.1110     0.0015     0.0024     0.0014     0.1117     2.0996     2.2400     0.1094     0.0026     0.1100
    9    0.160   2113.66     0.1775     0.0049    -0.0022     0.0016     0.1789     3.4167     2.5600     0.1763     0.0096     0.1756
   10    0.180   2114.76     0.2505     0.0047    -0.0164     0.0018     0.2452     1.8916     2.8800     0.2423    -0.0597     0.2579
   11    0.200   2115.74     0.2366     0.0051    -0.0139     0.0020     0.2323     2.1683     3.2000     0.2291    -0.0538     0.2426
   12    0.220   2116.74     0.2753     0.0046    -0.0147     0.0022     0.2686     1.6766     3.5200     0.2651    -0.0690     0.2846
   13    0.240   2117.74     0.2094     0.0041    -0.0193     0.0024     0.2030     1.5268     3.8400     0.1992    -0.0908     0.2182
   14    0.260   2118.75     0.0982     0.0042    -0.0082     0.0026     0.0947     2.8135     4.1600     0.0905    -0.1213     0.1031
   15    0.280   2119.79     0.0832     0.0039    -0.0084     0.0028     0.0794     4.5168     4.4800     0.0749    -0.1592     0.0885
   16    0.300   2120.83     0.0717     0.0022    -0.0065     0.0030     0.0689     3.0371     4.8000     0.0641    -0.1494     0.0755
   17    0.320   2121.83     0.0678     0.0020    -0.0068     0.0032     0.0646     2.9009     5.1200     0.0595    -0.1802     0.0722
   18    0.340   2122.82     0.0583     0.0021    -0.0045     0.0034     0.0564     3.3404     5.4400     0.0510    -0.1574     0.0610
   19    0.360   2123.86     0.0500     0.0022    -0.0006     0.0036     0.0492     4.4228     5.7600     0.0434    -0.1288     0.0512
   20    0.380   2124.86     0.0419     0.0020    -0.0001     0.0038     0.0419     4.6419     6.0800     0.0358    -0.1064     0.0419
   21    0.400   2125.89     0.0358     0.0033     0.0053     0.0040     0.0370     9.2580     6.4000     0.0306    -0.0371     0.0341
   22    0.420   2126.90     0.0340     0.0027     0.0100     0.0042     0.0376     7.8329     6.7200     0.0308     0.1356     0.0292
   23    0.440   2127.93     0.0556     0.0024     0.0127     0.0044     0.0606     4.6225     7.0400     0.0535     0.1469     0.0487
   24    0.460   2128.94     0.1432     0.0018     0.0135     0.0046     0.1490     1.4254     7.3600     0.1417     0.0699     0.1352
   25    0.480   2129.95     0.3034     0.0012     0.0037     0.0048     0.3069     0.3680     7.6800     0.2992     0.0130     0.2985
   26    0.500   2130.94     0.4222     0.0020    -0.0077     0.0050     0.4196     0.5012     8.0000     0.4116    -0.0269     0.4258
   27    0.520   2131.96     0.5823     0.0043    -0.0017     0.0052     0.5809     0.7518     8.3200     0.5726    -0.0152     0.5843
   28    0.540   2132.99     0.7103     0.0033     0.0010     0.0054     0.7106     0.4741     8.6400     0.7019    -0.0067     0.7099
   29    0.560   2133.99     0.8268     0.0038     0.0013     0.0056     0.8272     0.4648     8.9600     0.8182    -0.0057     0.8262
   30    0.580   2135.01     0.8215     0.0037     0.0020     0.0058     0.8221     0.4570     9.2800     0.8129    -0.0053     0.8206
   31    0.600   2136.02     0.7423     0.0036     0.0046     0.0060     0.7443     0.4800     9.6000     0.7347    -0.0016     0.7395
   32    0.620   2137.04     0.8736     0.0034     0.0037     0.0062     0.8750     0.3920     9.9200     0.8650    -0.0035     0.8718
   33    0.640   2138.03     0.7165     0.0013     0.0098     0.0064     0.7202     0.1533    10.2400     0.7100     0.0035     0.7115
   34    0.660   2139.07     0.7457     0.0029     0.0079     0.0066     0.7492     0.4245    10.5600     0.7387     0.0026     0.7407
   35    0.680   2140.08     0.9591     0.0056     0.0052     0.0068     0.9617     0.6584    10.8800     0.9509    -0.0005     0.9554
   36    0.700   2141.13     1.1907     0.0055    -0.0015     0.0070     1.1905     0.5121    11.2000     1.1793    -0.0062     1.1909
   37    0.720   2142.13     1.2579     0.0062     0.0005     0.0072     1.2568     0.4775    11.5200     1.2453    -0.0079     1.2594
   38    0.740   2143.14     1.4943     0.0098     0.0035     0.0074     1.4954     0.6853    11.8400     1.4835    -0.0033     1.4929
   39    0.760   2144.18     1.4925     0.0251     0.0055     0.0076     1.4954     1.7043    12.1600     1.4832    -0.0005     1.4886
   40    0.780   2145.18     1.8053     0.0224     0.0067     0.0078     1.8078     1.3345    12.4800     1.7953    -0.0011     1.8019
   41    0.800   2146.18     1.7706     0.0222     0.0086     0.0080     1.7745     1.2515    12.8000     1.7617     0.0007     1.7652
   42    0.820   2147.20     2.1363     0.0258     0.0082     0.0082     2.1395     1.2202    13.1200     2.1264    -0.0002     2.1318
   43    0.840   2148.22     2.3214    -0.0003     0.0090     0.0084     2.3250    -0.0109    13.4400     2.3116     0.0001     2.3165
   44    0.860   2149.20     2.8678     0.0230     0.0065     0.0086     2.8704     0.8069    13.7600     2.8567    -0.0008     2.8641
   45    0.880   2150.72     3.3555     0.0153     0.0079     0.0088     3.3584     0.4351    14.0800     3.3443    -0.0005     3.3514
   46    0.900   2169.97     3.7457     0.0248     0.0073     0.0090     3.7489     0.9362    14.4000     3.7345    -0.0004     3.7413
   47    0.920   2189.19     4.1282     0.0189     0.0085     0.0092     4.1312     0.6608    14.7200     4.1165    -0.0005     4.1240
   48    0.940   2190.20     2.4314     0.0226     0.0113     0.0094     2.4362     0.7626    15.0400     2.4211     0.0008     2.4247
   49    0.960   2191.23     2.7584     0.0438     0.0112     0.0096     2.7627     1.9908    15.3600     2.7474     0.0003     2.7524
   50    0.980   2192.23     2.5099     0.0249     0.0108     0.0098     2.5147     1.0689    15.6800     2.4990     0.0007     2.5033
   51    1.000   2193.28     2.8338     0.0169     0.0107     0.0100     2.8382     0.6242    16.0000     2.8222     0.0002     2.8277
   52    1.020   2194.29     3.1882     0.0211     0.0106     0.0102     3.1927     0.6723    16.3200     3.1764     0.0002     3.1820
   53    1.040   2195.30     3.1713     0.0198     0.0119     0.0104     3.1760     0.6001    16.6400     3.1593     0.0002     3.1648
   54    1.060   2196.31     3.3897     0.0180     0.0117     0.0106     3.3942     0.5595    16.9600     3.3773     0.0001     3.3835
   55    1.080   2197.33     3.4277     0.0135     0.0119     0.0108     3.4329     0.4113    17.2800     3.4156     0.0004     3.4206
   56    1.100   2198.36     3.6736     0.0128     0.0127     0.0110     3.6788     0.3495    17.6000     3.6612     0.0004     3.6665
   57    1.120   2199.36     3.7195     0.0097     0.0120     0.0112     3.7244     0.2621    17.9200     3.7065     0.0002     3.7126
   58    1.140   2200.39     3.8516     0.0075     0.0126     0.0114     3.8568     0.1995    18.2400     3.8385     0.0002     3.8445
   59    1.160   2201.39     3.8334     0.0064     0.0130     0.0116     3.8390     0.1665    18.5600     3.8204     0.0004     3.8258
   60    1.180   2202.42     3.9036     0.0085     0.0133     0.0118     3.9092     0.2203    18.8800     3.8904     0.0004     3.8959
   61    1.200   2203.42     4.2379     0.0098     0.0132     0.0120     4.2434     0.2409    19.2000     4.2242     0.0002     4.2304
   62    1.220   2204.45     4.5297     0.0090     0.0132     0.0122     4.5353     0.2041    19.5200     4.5157     0.0002     4.5220
   63    1.240   2205.48     4.7406     0.0115     0.0133     0.0124     4.7462     0.2430    19.8400     4.7264     0.0002     4.7329
   64    1.260   2206.55     4.8832     0.0099     0.0134     0.0126     4.8887     0.2028    20.1600     4.8686     0.0001     4.8755
   65    1.280   2207.49     4.8004     0.0103     0.0134     0.0128     4.8059     0.2156    20.4800     4.7855     0.0001     4.7927
   66    1.300   2208.56     4.8983     0.0098     0.0140     0.0130     4.9041     0.2051    20.8000     4.8833     0.0002     4.8903
   67    1.320   2209.57     4.9544     0.0095     0.0142     0.0132     4.9603     0.1909    21.1200     4.9392     0.0002     4.9461
   68    1.340   2210.56     5.0371     0.0093     0.0143     0.0134     5.0431     0.1871    21.4400     5.0217     0.0002     5.0288
   69    1.360   2211.61     4.9084     0.0123     0.0145     0.0136     4.9145     0.2515    21.7600     4.8927     0.0002     4.9001
   70    1.380   2212.61     5.0101     0.0214     0.0151     0.0138     5.0163     0.4285    22.0800     4.9942     0.0002     5.0015
   71    1.400   2213.62     5.0007     0.0182     0.0150     0.0140     5.0070     0.3662    22.4000     4.9846     0.0002     4.9921
   72    1.420   2214.67     4.9645     0.0177     0.0154     0.0142     4.9710     0.3557    22.7200     4.9483     0.0003     4.9555
   73    1.440   2215.67     5.0089     0.0185     0.0155     0.0144     5.0154     0.3696    23.0400     4.9924     0.0002     4.9998
   74    1.460   2216.67     5.0307     0.0191     0.0153     0.0146     5.0372     0.3802    23.3600     5.0138     0.0002     5.0217
   75    1.480   2217.67     5.0794     0.0191     0.0149     0.0148     5.0859     0.3761    23.6800     5.0622     0.0001     5.0705
   76    1.500   2218.67     5.1607     0.0189     0.0157     0.0150     5.1673     0.3699    24.0000     5.1433     0.0001     5.1516
   77    1.520   2219.72     5.2739     0.0187     0.0163     0.0152     5.2807     0.3570    24.3200     5.2563     0.0002     5.2645
   78    1.540   2220.78     5.3444     0.0164     0.0169     0.0154     5.3513     0.3097    24.6400     5.3267     0.0002     5.3348
   79    1.560   2221.76     5.4507     0.0162     0.0170     0.0156     5.4579     0.3004    24.9600     5.4329     0.0003     5.4408
   80    1.580   2222.81     5.5764     0.0162     0.0171     0.0158     5.5836     0.2933    25.2800     5.5583     0.0002     5.5664
   81    1.600   2223.85     5.7019     0.0156     0.0169     0.0160     5.7091     0.2739    25.6000     5.6835     0.0002     5.6921
   82    1.620   2224.85     5.7348     0.0134     0.0165     0.0162     5.7418     0.2332    25.9200     5.7159     0.0001     5.7253
   83    1.640   2225.87     5.7033     0.0127     0.0176     0.0164     5.7104     0.2212    26.2400     5.6842     0.0001     5.6934
   84    1.660   2226.86     5.5747     0.0110     0.0175     0.0166     5.5822     0.1947    26.5600     5.5556     0.0002     5.5644
   85    1.680   2227.91     5.4730     0.0104     0.0183     0.0168     5.4806     0.1888    26.8800     5.4537     0.0002     5.4625
   86    1.700   2228.92     5.3262     0.0099     0.0182     0.0170     5.3338     0.1832    27.2000     5.3066     0.0002     5.3157
   87    1.720   2229.94     5.1338     0.0103     0.0186     0.0172     5.1414     0.1966    27.5200     5.1139     0.0002     5.1232
   88    1.740   2231.00     4.7960     0.0097     0.0191     0.0174     4.8042     0.1999    27.8400     4.7763     0.0004     4.7848
   89    1.760   2232.00     4.4672     0.0120     0.0196     0.0176     4.4752     0.2661    28.1600     4.4470     0.0003     4.4562
   90    1.780   2233.03     4.1457     0.0138     0.0210     0.0178     4.1545     0.3243    28.4800     4.1260     0.0008     4.1335
   91    1.800   2234.00     3.9085     0.0168     0.0224     0.0180     3.9176     0.4183    28.8000     3.8888     0.0010     3.8960
   92    1.820   2235.07     3.8508     0.0177     0.0233     0.0182     3.8604     0.4612    29.1200     3.8313     0.0013     3.8374
   93    1.840   2236.02     4.0736     0.0179     0.0219     0.0184     4.0834     0.4531    29.4400     4.0539     0.0012     4.0602
   94    1.860   2237.10     4.6238     0.0178     0.0204     0.0186     4.6327     0.4069    29.7600     4.6029     0.0005     4.6116
   95    1.880   2238.10     5.2237     0.0172     0.0107     0.0188     5.2296     0.3466    30.0800     5.1996    -0.0009     5.2154
   96    1.900   2239.16     5.9734     0.0149    -0.0009     0.0190     5.9706     0.2637    30.4000     5.9402    -0.0043     5.9772
   97    1.920   2240.20     6.5786     0.0160    -0.0049     0.0192     6.5785     0.2530    30.7200     6.5478    -0.0029     6.5786
   98    1.940   2241.16     6.8329     0.0158     0.0042     0.0194     6.8335     0.2336    31.0400     6.8024    -0.0026     6.8321
   99    1.960   2242.25     6.8418     0.0172     0.0085     0.0196     6.8460     0.2504    31.3600     6.8147    -0.0014     6.8359
  100    1.980   2243.27     6.7760     0.0196     0.0151     0.0198     6.7809     0.2869    31.6800     6.7492    -0.0012     6.7692
  101    2.000   2244.31     6.7055     0.0216     0.0121     0.0200     6.7101     0.3218    32.0000     6.6781    -0.0014     6.6992
  102    2.020   2245.32     6.6168     0.0234     0.0154     0.0202     6.6228     0.3516    32.3200     6.5904    -0.0009     6.6086
  103    2.040   2246.30     6.4647     0.0246     0.0185     0.0204     6.4726     0.3757    32.6400     6.4399    -0.0003     6.4538
  104    2.060   2247.39     6.2128     0.0261     0.0189     0.0206     6.2210     0.4120    32.9600     6.1880    -0.0002     6.2015
  105    2.080   2248.37     5.9565     0.0268     0.0161     0.0208     5.9637     0.4407    33.2800     5.9305    -0.0006     5.9465
  106    2.100   2249.39     5.7170     0.0261     0.0185     0.0210     5.7247     0.4524    33.6000     5.6911    -0.0005     5.7063
  107    2.120   2250.43     5.5187     0.0246     0.0217     0.0212     5.5278     0.4424    33.9200     5.4939     0.0001     5.5060
  108    2.140   2251.44     5.2994     0.0246     0.0228     0.0214     5.3082     0.4544    34.2400     5.2739    -0.0001     5.2872
  109    2.160   2252.45     5.0836     0.0253     0.0272     0.0216     5.0944     0.4882    34.5600     5.0599     0.0008     5.0686
  110    2.180   2253.51     4.9310     0.0228     0.0289     0.0218     4.9429     0.4584    34.8800     4.9081     0.0013     4.9146
  111    2.200   2254.51     4.8331     0.0214     0.0307     0.0220     4.8459     0.4392    35.2000     4.8107     0.0017     4.8156
  112    2.220   2255.53     4.7623     0.0198     0.0300     0.0222     4.7753     0.4123    35.5200     4.7398     0.0018     4.7444
  113    2.240   2256.58     4.6930     0.0169     0.0173     0.0224     4.7024     0.3580    35.8400     4.6665     0.0000     4.6801
  114    2.260   2257.59     4.6146     0.0145     0.0071     0.0226     4.6181     0.3109    36.1600     4.5820    -0.0031     4.6096
  115    2.280   2258.66     4.4845     0.0114     0.0146     0.0228     4.4905     0.2527    36.4800     4.4540    -0.0019     4.4761
  116    2.300   2259.70     4.3577     0.0097     0.0228     0.0230     4.3657     0.2222    36.8000     4.3289    -0.0009     4.3466
  117    2.320   2260.71     4.2774     0.0092     0.0307     0.0232     4.2899     0.2136    37.1200     4.2528     0.0016     4.2601
  118    2.340   2261.72     4.1857     0.0100     0.0324     0.0234     4.2005     0.2374    37.4400     4.1631     0.0029     4.1652
  119    2.360   2262.71     4.1275     0.0086     0.0108     0.0236     4.1370     0.2092    37.7600     4.0993    -0.0002     4.1143
  120    2.380   2263.74     4.1070     0.0077     0.0123     0.0238     4.1111     0.1867    38.0800     4.0731    -0.0034     4.1012
