

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2025.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :10-Dec-2021
                         time          :15:00:24
 Project number                        :20024805
 Date of testing                       :09-Dec-2021
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-2025
 Penetrometer                          :F7.5CKE2HAW2/B/3284
 Serial no                             :1701-3284

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1494.63     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1495.58     0.0018                0.0009     0.0002     0.0021                0.3200     0.0018     0.2969
    3    0.040   1496.55     0.0086                0.0026     0.0004     0.0095                0.6400     0.0089     0.2078
    4    0.060   1497.48     0.0099     0.0004     0.0037     0.0006     0.0113     4.9258     0.9600     0.0103     0.2615
    5    0.080   1498.44     0.0162     0.0000     0.0048     0.0008     0.0181     0.0642     1.2800     0.0168     0.2243
    6    0.100   1499.38     0.0198     0.0009     0.0055     0.0010     0.0220     4.2951     1.6000     0.0204     0.2124
    7    0.120   1500.34     0.0186     0.0004     0.0053     0.0012     0.0208     2.2442     1.9200     0.0189     0.2216
    8    0.140   1501.32     0.0180     0.0011     0.0049     0.0014     0.0201     5.7921     2.2400     0.0178     0.1933
    9    0.160   1502.23     0.0213     0.0014     0.0054     0.0016     0.0236     7.3113     2.5600     0.0210     0.1841
   10    0.180   1503.18     0.0290     0.0016     0.0035     0.0018     0.0309     6.1766     2.8800     0.0280     0.0967
   11    0.200   1504.18     0.0459     0.0022     0.0016     0.0020     0.0471     5.1843     3.2000     0.0439     0.0156
   12    0.220   1505.16     0.0544     0.0022    -0.0022     0.0022     0.0543     4.2138     3.5200     0.0508    -0.0485
   13    0.240   1506.11     0.0633     0.0029    -0.0032     0.0024     0.0618     4.7350     3.8400     0.0579    -0.1064
   14    0.260   1507.05     0.0722     0.0029     0.0011     0.0026     0.0715     4.2035     4.1600     0.0674    -0.0631
   15    0.280   1508.01     0.0879     0.0039    -0.0048     0.0028     0.0867     4.3591     4.4800     0.0822    -0.0722
   16    0.300   1508.98     0.0823     0.0046    -0.0080     0.0030     0.0800     5.6071     4.8000     0.0752    -0.1099
   17    0.320   1509.94     0.0800     0.0047    -0.0103     0.0032     0.0752     5.2297     5.1200     0.0701    -0.2101
