

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2027(S).003                         
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :05-Jan-2022
                         time          :14:09:44
 Project number                        :20024805                                                                                            
 Date of testing                       :18-Dec-2021                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-2027(S)
 Penetrometer                          :F7.5CKE2HAW2/B/2753
 Serial no                             :1701-2753

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000    378.00     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020    378.96     0.0012                0.0008     0.0002     0.0014                0.3200     0.0011     0.3450
    3    0.040    379.95     0.0024                0.0015     0.0004     0.0029                0.6400     0.0023     0.3826
    4    0.060    380.91     0.0031                0.0018     0.0006     0.0039                0.9600     0.0029     0.3859
    5    0.080    381.87     0.0056     0.0003     0.0021     0.0008     0.0065     6.5643     1.2800     0.0052     0.2302
    6    0.100    382.81     0.0054     0.0002     0.0027     0.0010     0.0064     4.3556     1.6000     0.0048     0.3067
    7    0.120    383.74     0.0058     0.0002     0.0032     0.0012     0.0071     3.3119     1.9200     0.0052     0.3553
    8    0.140    384.66     0.0060     0.0001     0.0038     0.0014     0.0075     1.7880     2.2400     0.0052     0.4147
    9    0.160    385.60     0.0054     0.0001     0.0041     0.0016     0.0071     1.7418     2.5600     0.0045     0.5261
   10    0.180    386.56     0.0060     0.0006     0.0045     0.0018     0.0078    10.0153     2.8800     0.0050     0.5077
   11    0.200    387.51     0.0062     0.0011     0.0049     0.0020     0.0082    18.2888     3.2000     0.0050     0.5454
   12    0.220    388.47     0.0070     0.0013     0.0055     0.0022     0.0092    17.8474     3.5200     0.0057     0.5486
   13    0.240    389.38     0.0082     0.0013     0.0060     0.0024     0.0106    16.2182     3.8400     0.0068     0.5007
   14    0.260    390.34     0.0098     0.0013     0.0065     0.0026     0.0125    13.8806     4.1600     0.0083     0.4594
   15    0.280    410.41     0.0135     0.0013     0.0064     0.0028     0.0162    12.8510     4.4800     0.0117     0.3700
   16    0.300    434.68     0.0180     0.0012     0.0063     0.0030     0.0207    12.6955     4.8000     0.0159     0.2543
   17    0.320    453.70     0.0218     0.0013     0.0061     0.0032     0.0244     8.1401     5.1200     0.0193     0.1557
   18    0.340    454.63     0.0232     0.0014     0.0066     0.0034     0.0259     6.0974     5.4400     0.0204     0.1442
